Date,Index,Winner,Looser,Score,Tournament
2019-03-22,1,lucky_looser,uladbohdan,1:0,
2019-03-22,2,iraborsch,lucky_looser,1:0,
2019-03-22,3,uladbohdan,iraborsch,1:0,
2019-03-22,4,lucky_looser,uladbohdan,1:0,
2019-03-22,5,lucky_looser,iraborsch,1:0,
2019-03-22,6,uladbohdan,iraborsch,1:0,
2019-03-22,7,lucky_looser,uladbohdan,1:0,
2019-03-22,8,lucky_looser,iraborsch,1:0,
2019-03-22,9,iraborsch,uladbohdan,1:0,
2019-03-27,1,klicunou,lucky_looser,5:4,
2019-04-25,1,lucky_looser,bg_grab,8:1,
2019-05-03,1,lucky_looser,bg_grab,6:3,
2019-05-08,1,drapegnik,bg_grab,2:1,
2019-05-08,2,klicunou,drapegnik,2:1,
2019-05-08,3,klicunou,bg_grab,3:0,
2019-05-08,4,drapegnik,bg_grab,3:0,
2019-05-08,5,klicunou,drapegnik,3:0,
2019-05-08,6,klicunou,bg_grab,3:0,
2019-05-08,7,klicunou,drapegnik,3:0,
2019-05-08,8,drapegnik,bg_grab,3:0,
2019-05-08,9,klicunou,bg_grab,3:0,
2019-05-11,1,lucky_looser,iraborsch,6:2,
2019-06-14,1,klicunou,lucky_looser,6:2,
2019-06-20,1,lucky_looser,bg_grab,7:3,
2019-07-05,1,lucky_looser,bg_grab,7:2,
2019-08-04,1,lucky_looser,bg_grab,7:4,
2019-08-06,1,drapegnik,vladdeykun,2:1,
2019-08-06,2,lucky_looser,iraborsch,3:0,
2019-08-06,3,lucky_looser,drapegnik,3:0,
2019-08-06,4,vladdeykun,iraborsch,3:0,
2019-08-06,5,drapegnik,iraborsch,5:0,
2019-08-06,6,lucky_looser,vladdeykun,4:0,
2019-08-14,1,klicunou,vladdeykun,2:1,
2019-08-14,2,lucky_looser,uladbohdan,3:0,
2019-08-14,3,klicunou,lucky_looser,2:1,
2019-08-14,4,vladdeykun,uladbohdan,3:0,
2019-08-14,5,klicunou,uladbohdan,2:1,
2019-08-14,6,lucky_looser,vladdeykun,3:0,
2019-08-22,1,lucky_looser,klicunou,2:0,
2019-08-22,2,lucky_looser,iraborsch,2:0,
2019-08-22,3,klicunou,iraborsch,2:0,
2019-08-22,4,lucky_looser,klicunou,1:0,
2019-08-24,1,lucky_looser,uladbohdan,5:0,
2019-08-30,1,bg_grab,iraborsch,3:0,
2019-09-04,1,lucky_looser,iraborsch,5:0,
2019-09-08,1,bg_grab,unikalas,8:3,
2019-09-19,1,lucky_looser,iraborsch,2:0,
2019-09-19,2,lucky_looser,uladbohdan,2:0,
2019-09-19,3,uladbohdan,iraborsch,2:0,
2019-09-19,4,lucky_looser,iraborsch,2:0,
2019-09-19,5,lucky_looser,uladbohdan,2:0,
2019-09-27,1,lucky_looser,iraborsch,3:1,
2019-09-28,1,bg_grab,unikalas,3:1,LZR Open
2019-09-28,2,unikalas,bg_grab,3:2,
2019-09-29,1,lucky_looser,unikalas,3:1,LZR Open
2019-09-29,2,lucky_looser,unikalas,3:0,
2019-09-30,1,klicunou,rubanau,3:1,
